activity_id,ActivityLocation,StartTime,EndTime,ActivityDuration(hr),Labelled_SAs,Labelled_Acts
1311,Kentish Town,18,9,15,H,0
1313,Kentish Town,18,9,15,H,0
1315,Kentish Town,18,9,15,H,0
1316,Kentish Town,18,9,15,H,0
1317,Kentish Town,18,9,15,H,0
1319,Kentish Town,22,9,11,H,0
1321,Kentish Town,22,9,11,H,0
1323,Kentish Town,20,9,13,H,0
1325,Kentish Town,18,9,15,H,0
1329,Kentish Town,18,9,15,H,0
1331,Kentish Town,18,9,15,H,0
1333,Kentish Town,18,9,15,H,0
1335,Kentish Town,18,9,15,H,0
1337,Kentish Town,18,9,15,H,0
1342,Kentish Town,18,9,15,H,0
1344,Kentish Town,18,9,15,H,0
1346,Kentish Town,19,9,14,H,0
1348,Kentish Town,22,7,9,H,0
1350,Kentish Town,18,9,15,H,0
1352,Kentish Town,19,9,14,H,0
1354,Kentish Town,19,9,14,H,0
1355,Kentish Town,19,9,14,H,0
1356,Kentish Town,20,9,13,H,0
1358,Kentish Town,22,7,9,H,0
1359,Kentish Town,18,9,15,H,0
1360,Kentish Town,17,9,16,H,0
1361,Kentish Town,18,9,15,H,0
1362,Kentish Town,23,9,10,H,0
1364,Kentish Town,18,9,15,H,0
1367,Kentish Town,22,7,9,H,0
1371,Kentish Town,20,9,13,H,0
1373,Kentish Town,19,9,14,H,0
1375,Kentish Town,18,7,13,H,0
1376,Kentish Town,22,13,15,H,0
1378,Kentish Town,18,9,15,H,0
1379,Kentish Town,22,9,11,H,0
1380,Kentish Town,22,7,9,H,0
1381,Kentish Town,20,9,13,H,0
1382,Kentish Town,20,9,13,H,0
1384,Kentish Town,18,9,15,H,0
1390,Kentish Town,18,7,13,H,0
1392,Kentish Town,23,16,17,H,0
1394,Kentish Town,18,9,15,H,0
1396,Kentish Town,18,9,15,H,0
1398,Kentish Town,22,7,9,H,0
1399,Kentish Town,18,9,15,H,0
1402,Kentish Town,22,9,11,H,0
1403,Kentish Town,18,9,15,H,0
1405,Kentish Town,18,9,15,H,0
1407,Kentish Town,18,9,15,H,0
1409,Kentish Town,18,9,15,H,0
1411,Kentish Town,21,9,12,H,0
1414,Kentish Town,23,9,10,H,0
1416,Kentish Town,23,9,10,H,0
1417,Kentish Town,17,6,13,H,0
1420,Kentish Town,17,8,15,H,0
1421,Kentish Town,21,9,12,H,0
1428,Kentish Town,22,7,9,H,0
1430,Kentish Town,22,9,11,H,0
1434,Kentish Town,22,7,9,H,0
1436,Kentish Town,17,8,15,H,0
1438,Kentish Town,21,12,15,H,0
1440,Kentish Town,16,9,17,H,0
1441,Kentish Town,21,12,15,H,0
1222,Kentish Town,18,9,15,H,0
1226,Kentish Town,18,7,13,H,0
1228,Kentish Town,21,12,15,H,0
1231,Kentish Town,17,8,15,H,0
1232,Kentish Town,19,8,13,H,0
1234,Kentish Town,18,10,16,H,0
1236,Kentish Town,23,9,10,H,0
1238,Kentish Town,22,7,9,H,0
1240,Kentish Town,17,8,15,H,0
1242,Kentish Town,19,12,17,H,0
1244,Kentish Town,17,8,15,H,0
1246,Kentish Town,20,9,13,H,0
1247,Kentish Town,21,12,15,H,0
1256,Waterloo,17,8,15,H,0
1257,Victoria,18,7,13,H,0
1000,Willesden Green,21,14,17,H,0
1002,Willesden Green,16,8,16,H,0
1004,Willesden Green,18,7,13,H,0
1008,Willesden Green,18,7,13,H,0
1012,Willesden Green,16,8,16,H,0
1014,Willesden Green,18,7,13,H,0
1016,Willesden Green,17,8,15,H,0
1021,Willesden Green,18,8,14,H,0
1024,Willesden Green,21,12,15,H,0
1028,Willesden Green,16,8,16,H,0
1032,Willesden Green,16,8,16,H,0
1034,Willesden Green,18,7,13,H,0
1035,Euston Square,16,9,17,H,0
1037,Willesden Green,18,7,13,H,0
1039,Willesden Green,22,9,11,H,0
1042,Willesden Green,16,8,16,H,0
1044,Willesden Green,18,7,13,H,0
1046,Willesden Green,22,7,9,H,0
1049,Willesden Green,16,7,15,H,0
1050,Willesden Green,16,8,16,H,0
1054,Willesden Green,15,8,17,H,0
1057,Willesden Green,18,7,13,H,0
1064,Willesden Green,16,7,15,H,0
1069,Willesden Green,16,8,16,H,0
1071,Willesden Green,16,8,16,H,0
1079,Willesden Green,17,8,15,H,0
1082,Willesden Green,22,8,10,H,0
1086,Willesden Green,16,9,17,H,0
1090,Willesden Green,22,7,9,H,0
1092,Willesden Green,18,7,13,H,0
1094,Willesden Green,16,8,16,H,0
1097,Willesden Green,16,8,16,H,0
1100,Willesden Green,16,8,16,H,0
1102,Willesden Green,16,8,16,H,0
1105,Willesden Green,16,8,16,H,0
1114,Willesden Green,18,8,14,H,0
1117,Willesden Green,16,8,16,H,0
1119,Willesden Green,18,7,13,H,0
1125,Willesden Green,16,7,15,H,0
1128,Willesden Green,17,8,15,H,0
1131,Willesden Green,16,8,16,H,0
1135,Willesden Green,22,7,9,H,0
1139,Willesden Green,16,8,16,H,0
1143,Willesden Green,17,8,15,H,0
1147,Willesden Green,19,8,13,H,0
1148,Willesden Green,18,7,13,H,0
1152,Willesden Green,16,8,16,H,0
1154,Willesden Green,16,8,16,H,0
1157,Willesden Green,17,8,15,H,0
1158,Willesden Green,16,8,16,H,0
1163,Willesden Green,18,10,16,H,0
1165,Willesden Green,19,8,13,H,0
1167,Willesden Green,17,8,15,H,0
1169,Willesden Green,22,7,9,H,0
1172,Willesden Green,15,7,16,H,0
1174,Willesden Green,22,8,10,H,0
1176,Willesden Green,18,9,15,H,0
1184,Willesden Green,18,7,13,H,0
1189,Willesden Green,15,8,17,H,0
1196,Willesden Green,16,8,16,H,0
1201,Willesden Green,16,9,17,H,0
1207,Willesden Green,16,7,15,H,0
1209,Willesden Green,16,8,16,H,0
1211,Willesden Green,18,7,13,H,0
1214,Willesden Green,16,8,16,H,0
1218,Willesden Green,16,8,16,H,0
1851,Notting Hill Gate,20,9,13,H,0
1859,Ladbroke Grove,22,9,11,H,0
1861,Westbourne Park,18,9,15,H,0
1863,Notting Hill Gate,20,8,12,H,0
1868,Notting Hill Gate,20,9,13,H,0
1876,Ladbroke Grove,22,9,11,H,0
1878,Westbourne Park,18,9,15,H,0
1880,Notting Hill Gate,20,8,12,H,0
1885,Notting Hill Gate,20,9,13,H,0
1895,Westbourne Park,18,9,15,H,0
1897,Notting Hill Gate,20,8,12,H,0
1902,Notting Hill Gate,20,9,13,H,0
1910,Ladbroke Grove,22,9,11,H,0
1912,Westbourne Park,18,9,15,H,0
1914,Notting Hill Gate,20,8,12,H,0
1710,Leytonstone,23,12,13,H,0
1713,Leytonstone,17,8,15,H,0
1715,Leytonstone,22,8,10,H,0
1717,Leytonstone,22,8,10,H,0
1722,Leytonstone,22,8,10,H,0
1725,Leytonstone,20,8,12,H,0
1727,Leytonstone,22,8,10,H,0
1729,Leytonstone,22,8,10,H,0
1731,Leytonstone,22,8,10,H,0
1733,Leytonstone,22,8,10,H,0
1735,Leytonstone,22,12,14,H,0
1737,Leytonstone,17,9,16,H,0
1738,Leytonstone,18,10,16,H,0
1739,Willesden Green,18,7,13,H,0
1740,Willesden Green,17,8,15,H,0
1743,Willesden Green,21,7,10,H,0
1746,Willesden Green,19,7,12,H,0
1749,Willesden Green,18,8,14,H,0
1751,Willesden Green,18,8,14,H,0
1753,Willesden Green,18,10,16,H,0
1755,Willesden Green,18,8,14,H,0
1756,Willesden Green,18,8,14,H,0
1758,Willesden Green,18,8,14,H,0
1759,Willesden Green,19,8,13,H,0
1761,Willesden Green,23,8,9,H,0
1762,Willesden Green,18,8,14,H,0
1763,Willesden Green,17,8,15,H,0
1765,Willesden Green,18,8,14,H,0
1766,Willesden Green,19,8,13,H,0
1767,Willesden Green,18,8,14,H,0
1768,Willesden Green,18,8,14,H,0
1769,Willesden Green,18,8,14,H,0
1770,Willesden Green,18,10,16,H,0
1772,Willesden Green,17,8,15,H,0
1773,Willesden Green,19,8,13,H,0
1775,Willesden Green,19,8,13,H,0
1776,Willesden Green,18,7,13,H,0
1777,Willesden Green,20,8,12,H,0
1778,Willesden Green,22,8,10,H,0
1780,Willesden Green,17,7,14,H,0
1782,Willesden Green,18,8,14,H,0
1783,Willesden Green,18,8,14,H,0
1784,Willesden Green,17,8,15,H,0
1785,Willesden Green,17,7,14,H,0
1786,Willesden Green,19,8,13,H,0
1787,Willesden Green,20,8,12,H,0
1788,Willesden Green,19,8,13,H,0
1790,Willesden Green,18,8,14,H,0
1791,Willesden Green,18,8,14,H,0
1792,Willesden Green,18,8,14,H,0
1794,Willesden Green,19,8,13,H,0
1795,Willesden Green,19,8,13,H,0
1797,Willesden Green,18,8,14,H,0
1798,Willesden Green,18,8,14,H,0
1799,Willesden Green,18,8,14,H,0
1800,Willesden Green,18,8,14,H,0
1801,Willesden Green,18,10,16,H,0
1802,Willesden Green,21,8,11,H,0
1805,Willesden Green,18,8,14,H,0
1806,Willesden Green,18,8,14,H,0
1808,Willesden Green,20,8,12,H,0
1809,Willesden Green,18,7,13,H,0
1810,Willesden Green,18,7,13,H,0
1812,Willesden Green,17,7,14,H,0
1813,Willesden Green,19,7,12,H,0
1815,Willesden Green,17,7,14,H,0
1816,Willesden Green,18,7,13,H,0
1818,Willesden Green,19,7,12,H,0
1820,Willesden Green,17,8,15,H,0
1821,Willesden Green,22,8,10,H,0
1824,Willesden Green,22,8,10,H,0
1825,Willesden Green,18,7,13,H,0
1826,Willesden Green,18,7,13,H,0
1827,Willesden Green,19,7,12,H,0
1829,Willesden Green,19,8,13,H,0
1831,Willesden Green,18,8,14,H,0
1832,Willesden Green,19,8,13,H,0
1834,Willesden Green,20,8,12,H,0
1838,Willesden Green,18,8,14,H,0
1840,Willesden Green,15,7,16,H,0
1842,Willesden Green,18,7,13,H,0
1845,Willesden Green,19,8,13,H,0
1846,Willesden Green,18,8,14,H,0
2128,Willesden Green,18,7,13,H,0
2132,Willesden Green,21,7,10,H,0
2135,Willesden Green,19,7,12,H,0
2137,Willesden Green,18,7,13,H,0
2140,Willesden Green,18,8,14,H,0
2144,Willesden Green,18,8,14,H,0
2145,Willesden Green,18,8,14,H,0
2147,Willesden Green,18,8,14,H,0
2148,Willesden Green,19,8,13,H,0
2150,Willesden Green,23,8,9,H,0
2151,Willesden Green,18,8,14,H,0
2152,Willesden Green,17,8,15,H,0
2154,Willesden Green,18,8,14,H,0
2155,Willesden Green,19,8,13,H,0
2156,Willesden Green,18,8,14,H,0
2157,Willesden Green,22,8,10,H,0
2158,Willesden Green,18,8,14,H,0
2159,Willesden Green,23,8,9,H,0
2161,Willesden Green,17,8,15,H,0
2162,Willesden Green,19,8,13,H,0
2164,Willesden Green,19,8,13,H,0
2165,Willesden Green,18,7,13,H,0
2166,Willesden Green,20,8,12,H,0
2167,Willesden Green,18,8,14,H,0
2169,Willesden Green,17,7,14,H,0
2171,Willesden Green,18,8,14,H,0
2172,Willesden Green,18,8,14,H,0
2173,Willesden Green,17,8,15,H,0
2174,Willesden Green,17,7,14,H,0
2175,Willesden Green,19,8,13,H,0
2176,Willesden Green,20,8,12,H,0
2177,Willesden Green,19,8,13,H,0
2179,Willesden Green,18,8,14,H,0
2180,Willesden Green,18,8,14,H,0
2181,Willesden Green,18,8,14,H,0
2183,Willesden Green,19,8,13,H,0
2184,Willesden Green,19,8,13,H,0
2186,Willesden Green,18,8,14,H,0
2187,Willesden Green,18,8,14,H,0
2188,Willesden Green,18,8,14,H,0
2189,Willesden Green,18,8,14,H,0
2190,Willesden Green,18,10,16,H,0
2193,Willesden Green,18,8,14,H,0
2194,Willesden Green,18,8,14,H,0
2195,Willesden Green,18,8,14,H,0
2197,Willesden Green,22,8,10,H,0
2199,Willesden Green,18,7,13,H,0
2201,Willesden Green,17,7,14,H,0
2202,Willesden Green,19,7,12,H,0
2204,Willesden Green,17,7,14,H,0
2205,Willesden Green,18,7,13,H,0
2207,Willesden Green,19,7,12,H,0
2209,Willesden Green,17,8,15,H,0
2210,Willesden Green,21,9,12,H,0
2213,Willesden Green,22,8,10,H,0
2214,Willesden Green,18,7,13,H,0
2215,Willesden Green,18,7,13,H,0
2216,Willesden Green,19,7,12,H,0
2218,Willesden Green,19,8,13,H,0
2220,Willesden Green,18,8,14,H,0
2221,Willesden Green,19,8,13,H,0
2223,Willesden Green,20,8,12,H,0
2225,Willesden Green,18,7,13,H,0
2227,Willesden Green,18,8,14,H,0
2229,Willesden Green,15,7,16,H,0
2231,Willesden Green,18,7,13,H,0
2234,Willesden Green,19,8,13,H,0
2235,Willesden Green,18,8,14,H,0
2296,Willesden Green,18,7,13,H,0
2297,Willesden Green,23,9,10,H,0
2300,Willesden Green,21,7,10,H,0
2303,Willesden Green,19,7,12,H,0
2306,Willesden Green,18,8,14,H,0
2308,Willesden Green,22,8,10,H,0
2310,Willesden Green,17,8,15,H,0
2312,Willesden Green,18,8,14,H,0
2313,Willesden Green,18,8,14,H,0
2316,Willesden Green,19,8,13,H,0
2318,Willesden Green,23,8,9,H,0
2319,Willesden Green,18,8,14,H,0
2320,Willesden Green,17,8,15,H,0
2322,Willesden Green,18,8,14,H,0
2324,Willesden Green,18,8,14,H,0
2325,Willesden Green,18,8,14,H,0
2327,Willesden Green,17,8,15,H,0
2329,Willesden Green,17,8,15,H,0
2332,Willesden Green,19,8,13,H,0
2333,Willesden Green,18,7,13,H,0
2334,Willesden Green,20,8,12,H,0
2335,Willesden Green,18,8,14,H,0
2337,Willesden Green,17,7,14,H,0
2339,Willesden Green,18,8,14,H,0
2340,Willesden Green,18,8,14,H,0
2341,Willesden Green,17,8,15,H,0
2343,Willesden Green,19,8,13,H,0
2344,Willesden Green,20,8,12,H,0
2345,Willesden Green,19,8,13,H,0
2347,Willesden Green,18,8,14,H,0
2348,Willesden Green,18,8,14,H,0
2349,Willesden Green,18,8,14,H,0
2351,Willesden Green,19,8,13,H,0
2352,Willesden Green,19,8,13,H,0
2354,Willesden Green,18,8,14,H,0
2355,Willesden Green,22,8,10,H,0
2356,Willesden Green,18,8,14,H,0
2357,Willesden Green,18,8,14,H,0
2358,Willesden Green,18,10,16,H,0
2359,Willesden Green,21,8,11,H,0
2361,Willesden Green,18,8,14,H,0
2362,Willesden Green,18,8,14,H,0
2363,Willesden Green,18,8,14,H,0
2365,Willesden Green,20,8,12,H,0
2366,Willesden Green,18,7,13,H,0
2367,Willesden Green,18,7,13,H,0
2369,Willesden Green,17,7,14,H,0
2370,Willesden Green,19,7,12,H,0
2372,Willesden Green,17,7,14,H,0
2373,Willesden Green,18,7,13,H,0
2375,Willesden Green,19,7,12,H,0
2377,Willesden Green,17,8,15,H,0
2378,Willesden Green,23,9,10,H,0
2381,Willesden Green,22,8,10,H,0
2382,Willesden Green,18,7,13,H,0
2383,Willesden Green,18,7,13,H,0
2384,Willesden Green,19,7,12,H,0
2386,Willesden Green,19,8,13,H,0
2388,Willesden Green,18,8,14,H,0
2391,Willesden Green,20,8,12,H,0
2393,Willesden Green,18,7,13,H,0
2395,Willesden Green,18,8,14,H,0
2397,Willesden Green,15,7,16,H,0
2399,Willesden Green,18,7,13,H,0
2402,Willesden Green,19,8,13,H,0
2403,Willesden Green,18,8,14,H,0
2091,Westferry,22,8,10,H,0
2096,Westferry,17,9,16,H,0
2098,Westferry,20,8,12,H,0
2101,Westferry,21,14,17,H,0
2107,Westferry,21,10,13,H,0
2109,Westferry,20,8,12,H,0
2110,Westferry,21,13,16,H,0
2119,Westferry,21,13,16,H,0
2251,North Acton,23,9,10,H,0
2257,North Acton,18,8,14,H,0
2260,North Acton,16,7,15,H,0
2264,North Acton,17,7,14,H,0
2266,North Acton,15,7,16,H,0
2267,North Acton,20,8,12,H,0
2269,North Acton,16,7,15,H,0
2271,North Acton,18,10,16,H,0
2273,North Acton,17,9,16,H,0
2277,North Acton,17,8,15,H,0
2285,North Acton,17,9,16,H,0
2287,North Acton,17,8,15,H,0
2289,North Acton,17,9,16,H,0
2292,North Acton,14,7,17,H,0
2294,North Acton,17,8,15,H,0
2046,East Croydon,20,8,12,H,0
2048,East Croydon,22,8,10,H,0
2049,East Croydon,18,9,15,H,0
2051,East Croydon,18,9,15,H,0
2053,East Croydon,17,9,16,H,0
2056,East Croydon,18,9,15,H,0
2058,East Croydon,20,8,12,H,0
2063,East Croydon,20,10,14,H,0
2067,East Croydon,18,9,15,H,0
2068,East Croydon,18,9,15,H,0
2069,East Croydon,17,10,17,H,0
2071,East Croydon,18,10,16,H,0
2073,East Croydon,17,10,17,H,0
2074,East Croydon,17,9,16,H,0
2076,East Croydon,18,9,15,H,0
2078,East Croydon,18,10,16,H,0
2080,East Croydon,16,9,17,H,0
2082,East Croydon,19,9,14,H,0
2086,East Croydon,19,9,14,H,0
2427,Finsbury Park,17,8,15,H,0
2432,Finsbury Park,23,9,10,H,0
2433,Finsbury Park,17,8,15,H,0
2435,Finsbury Park,23,9,10,H,0
2439,Finsbury Park,22,8,10,H,0
2441,Finsbury Park,19,9,14,H,0
2443,Finsbury Park,16,9,17,H,0
2445,Finsbury Park,16,9,17,H,0
2448,Finsbury Park,16,6,14,H,0
2451,Finsbury Park,16,9,17,H,0
2453,Finsbury Park,16,7,15,H,0
2455,Finsbury Park,20,9,13,H,0
2457,Finsbury Park,16,6,14,H,0
2460,West Hampstead,21,14,17,H,0
2462,West Hampstead,16,8,16,H,0
2464,West Hampstead,21,9,12,H,0
2471,West Hampstead,16,8,16,H,0
2473,West Hampstead,21,9,12,H,0
2475,West Hampstead,17,8,15,H,0
2485,West Hampstead,16,8,16,H,0
2489,West Hampstead,16,8,16,H,0
2491,West Hampstead,17,8,15,H,0
2496,West Hampstead,16,8,16,H,0
2498,West Hampstead,21,9,12,H,0
2500,West Hampstead,20,8,12,H,0
2503,West Hampstead,16,7,15,H,0
2504,West Hampstead,22,8,10,H,0
6127,East Croydon,22,7,9,H,0
6128,Kennington,20,8,12,H,0
6129,Kennington,22,8,10,H,0
6130,Kennington,20,8,12,H,0
3601,Kensal Rise,22,10,12,H,0
3602,Kensal Rise,22,8,10,H,0
3608,Upney,17,6,13,H,0
3609,Upney,17,6,13,H,0
3610,Upney,18,6,12,H,0
3611,Upney,17,6,13,H,0
3612,Upney,16,6,14,H,0
3622,Upney,15,6,15,H,0
3623,Upney,16,6,14,H,0
3624,Upney,16,6,14,H,0
3625,Upney,16,6,14,H,0
3626,Upney,15,6,15,H,0
3627,Upney,16,6,14,H,0
3628,Upney,16,5,13,H,0
3629,Upney,15,6,15,H,0
3630,Upney,15,6,15,H,0
3631,Upney,15,6,15,H,0
3632,Upney,16,6,14,H,0
3633,Upney,16,6,14,H,0
3634,Upney,16,6,14,H,0
3635,Upney,16,6,14,H,0
3636,Upney,15,6,15,H,0
3637,Upney,16,6,14,H,0
3638,Upney,22,8,10,H,0
3639,Upney,16,6,14,H,0
3640,Upney,15,6,15,H,0
3641,Upney,21,6,9,H,0
3642,Upney,15,6,15,H,0
3643,Upney,16,6,14,H,0
3644,Upney,15,6,15,H,0
3645,Walthamstow Queens Road,19,8,13,H,0
3646,Walthamstow Queens Road,19,8,13,H,0
3647,Walthamstow Queens Road,18,8,14,H,0
3648,Walthamstow Queens Road,19,8,13,H,0
3649,Walthamstow Queens Road,18,8,14,H,0
3650,Walthamstow Queens Road,18,8,14,H,0
3651,Walthamstow Queens Road,18,9,15,H,0
3652,Walthamstow Queens Road,18,9,15,H,0
3653,Walthamstow Queens Road,18,9,15,H,0
3654,Walthamstow Queens Road,18,9,15,H,0
3655,Walthamstow Queens Road,18,9,15,H,0
3656,Walthamstow Queens Road,18,9,15,H,0
3661,Leyton,22,12,14,H,0
3662,Leyton,19,5,10,H,0
3663,Leyton,23,7,8,H,0
3664,Leyton,18,6,12,H,0
3665,Leyton,18,6,12,H,0
3666,Leyton,18,9,15,H,0
3667,Hackney Wick,19,7,12,H,0
3668,Hackney Wick,20,8,12,H,0
3669,Hackney Wick,18,8,14,H,0
3670,Hackney Wick,18,8,14,H,0
3671,Hackney Wick,18,8,14,H,0
3672,Hackney Wick,22,8,10,H,0
3673,Hackney Wick,18,7,13,H,0
3674,Hackney Wick,18,8,14,H,0
3688,Kentish Town,18,9,15,H,0
3689,Kentish Town,17,7,14,H,0
3690,Kentish Town,18,7,13,H,0
3691,Kentish Town,17,6,13,H,0
3692,Kentish Town,18,6,12,H,0
3693,Kentish Town,18,7,13,H,0
3694,Stratford,20,7,11,H,0
3695,Stratford,17,7,14,H,0
3696,Stratford,17,7,14,H,0
3697,Stratford,17,7,14,H,0
3698,Stratford,17,7,14,H,0
3699,Stratford,17,7,14,H,0
3700,Stratford,18,7,13,H,0
3701,Stratford,17,7,14,H,0
3702,Stratford,18,7,13,H,0
3703,Stratford,21,6,9,H,0
3704,Stratford,20,7,11,H,0
3705,Stratford,17,6,13,H,0
3706,Stratford,19,6,11,H,0
3707,Stratford,21,6,9,H,0
3708,Stratford,21,6,9,H,0
3709,Stratford,20,6,10,H,0
3710,Stratford,17,6,13,H,0
3711,Stratford,19,6,11,H,0
3712,Stratford,21,11,14,H,0
3713,Queensway,17,8,15,H,0
3714,Queensway,21,12,15,H,0
3715,Queensway,17,8,15,H,0
3716,Queensway,21,8,11,H,0
3717,Queensway,21,7,10,H,0
3718,Queensway,22,8,10,H,0
3719,Queensway,22,8,10,H,0
3720,Queensway,20,8,12,H,0
3721,Queensway,21,8,11,H,0
3722,Queensway,17,7,14,H,0
3723,Queensway,18,8,14,H,0
3724,Queensway,17,8,15,H,0
3725,Queensway,17,8,15,H,0
3726,Upton Park,19,10,15,H,0
3727,Upton Park,22,12,14,H,0
3728,Upton Park,23,12,13,H,0
3729,Upton Park,22,12,14,H,0
3730,Upton Park,17,5,12,H,0
3731,Upton Park,19,7,12,H,0
3732,Notting Hill Gate,18,8,14,H,0
